location,geo_lat,geo_long,number_of_rooms,number_of_toilets,surface_size,price
8.0,10.79084,106.7107,2.0,1.0,68.0,1700.0
8.0,10.79084,106.7107,2.0,1.0,67.0,1600.0
8.0,10.79084,106.7107,2.0,1.0,77.0,1700.0
8.0,10.8105831,106.70914219999997,2.0,1.0,56.0,1420.0
8.0,10.8105831,106.70914219999997,3.0,2.0,56.0,1430.0
8.0,10.8105831,106.70914219999997,2.0,1.0,56.0,1430.0
8.0,10.8105831,106.70914219999997,2.0,2.0,69.0,2250.0
8.0,10.81589,106.72,2.0,3.0,70.0,1610.0
20.0,10.8105831,106.70914219999997,2.0,2.0,72.0,1500.0
8.0,10.8230989,106.6296638,2.0,2.0,71.0,1590.0
8.0,10.7950306,106.708649,2.0,2.0,69.0,2250.0
7.0,21.0174351,105.780396,3.0,2.0,135.0,3915.0
8.0,10.80015,106.7017,3.0,2.0,81.0,1780.0
8.0,10.80979,106.7121,2.0,2.0,58.0,1500.0
8.0,10.8169505,106.70835310000007,3.0,2.0,70.0,1610.0
8.0,10.8169505,106.70835310000007,2.0,2.0,70.0,1610.0
8.0,10.8169505,106.70835310000007,3.0,2.0,70.0,1610.0
8.0,10.80797767982643,106.71197001481937,3.0,3.0,98.0,2450.0
8.0,10.7950306,106.708649,2.0,2.0,69.0,2600.0
20.0,10.8105831,106.70914219999997,3.0,2.0,110.0,1600.0
8.0,10.81589,106.72,3.0,2.0,98.0,2450.0
8.0,10.790899571210302,106.68846130021848,3.0,2.0,81.0,1780.0
8.0,10.80015,106.7017,3.0,2.0,81.0,1780.0
8.0,10.81615,106.7073,2.0,2.0,72.0,1512.0
8.0,10.8105831,106.70914219999997,2.0,1.0,57.0,1430.0
8.0,10.79563,106.6937,2.0,1.0,54.0,1400.0
8.0,10.815828990091704,106.71993064880371,2.0,2.0,98.0,2600.0
8.0,10.8061002,106.70704160000003,1.0,1.0,53.0,1400.0
8.0,10.796529,106.69317799999999,1.0,1.0,53.0,1400.0
8.0,10.796529,106.69317799999999,1.0,1.0,53.0,1420.0
8.0,10.7990146,106.68682430000001,2.0,1.0,64.0,1500.0
8.0,10.7990146,106.68682430000001,2.0,2.0,64.0,1500.0
8.0,10.7990146,106.68682430000001,2.0,1.0,64.0,1500.0
8.0,10.8169505,106.70835310000007,3.0,2.0,70.0,1610.0
8.0,10.8105831,106.70914219999997,2.0,1.0,67.0,1650.0
8.0,10.7837013,106.69882259999997,2.0,2.0,72.0,1584.0
8.0,10.816258908604349,106.70752644538902,2.0,2.0,71.0,1590.0
8.0,10.8455454,106.67170920000001,1.0,1.0,58.0,1380.0
8.0,10.7908449,106.7107,2.0,1.0,68.0,1650.0
8.0,10.8105831,106.70914219999997,2.0,2.0,73.0,1500.0
8.0,10.8105831,106.70914219999997,2.0,1.0,57.0,1400.0
8.0,10.7910537,106.71477149999998,2.0,2.0,67.0,1600.0
8.0,10.7910537,106.71477149999998,2.0,2.0,67.0,1600.0
8.0,10.7910537,106.71477149999998,2.0,2.0,67.0,1600.0
8.0,10.8105831,106.70914219999997,2.0,1.0,52.0,1350.0
8.0,10.7910537,106.71477149999998,1.0,1.0,73.0,3000.0
8.0,10.790993374452146,106.71491905822757,1.0,1.0,73.0,3150.0
8.0,10.7938585,106.71142600000007,2.0,2.0,103.0,4600.0
8.0,10.8105831,106.70914219999997,2.0,2.0,68.0,2100.0
8.0,10.8105831,106.70914219999997,2.0,2.0,67.0,1930.0
8.0,10.8105831,106.70914219999997,2.0,2.0,81.0,1750.0
8.0,10.8077963,106.70331060000001,2.0,2.0,71.0,1580.0
