location,geo_lat,geo_long,number_of_floors,surface_size,price
0.0,10.7851579,106.68379800000002,2.0,54.0,4300.0
0.0,10.7752565,106.68636289999995,2.0,66.5,4600.0
0.0,10.7752565,106.68636289999995,2.0,64.0,4100.0
0.0,10.784163727080832,106.68830617843469,2.0,40.0,4300.0
0.0,10.7835106,106.68377570000007,2.0,54.0,4300.0
0.0,10.7850397,106.68428040000003,2.0,54.0,4300.0
0.0,10.7835106,106.68377570000007,2.0,54.0,4300.0
0.0,10.7851579,106.68379800000002,2.0,54.0,4300.0
0.0,10.7817499225732,106.67443256610102,2.0,32.3,3200.0
0.0,10.777483,106.68909610000003,2.0,43.4,3500.0
0.0,10.777483,106.68909610000003,3.0,51.8,4600.0
0.0,10.7856346974533,106.66695317980998,2.0,76.6,2500.0
0.0,10.7908153,106.68267089999995,4.0,39.6,4100.0
0.0,10.7788966,106.68308120000006,1.0,87.0,4500.0
0.0,10.779368,106.67928200000006,1.0,60.8,2950.0
0.0,10.7752565,106.68636289999995,2.0,21.0,2380.0
0.0,10.7802924,106.67686060000005,1.0,35.0,2000.0
0.0,10.7806327657583,106.68008076718093,7.0,46.6,3600.0
0.0,10.780965016095747,106.6850499766906,3.0,40.0,4500.0
0.0,10.782457624111695,106.68209016931155,4.0,48.0,3400.0
0.0,10.781391607205,106.67943703701803,3.0,87.0,4200.0
0.0,10.7830439,106.68239949999997,4.0,48.0,3300.0
0.0,10.780925236125865,106.67973744442747,4.0,89.0,4200.0
0.0,10.7752565,106.68636289999995,2.0,31.4,2200.0
0.0,10.7843695,106.6844089,2.0,44.0,4600.0
0.0,10.7827325,106.682233,2.0,57.4,3200.0
0.0,10.7827325,106.682233,2.0,55.4,3100.0
0.0,10.7827325,106.682233,2.0,52.0,2300.0
0.0,10.7830439,106.68239949999997,3.0,43.2,5000.0
0.0,10.7817574,106.68890570000008,4.0,52.5,3900.0
0.0,10.7871,106.672,2.0,112.0,3300.0
0.0,10.7706954,106.67760010000006,2.0,77.0,7600.0
0.0,10.7688918,106.67877090000002,2.0,45.0,4200.0
0.0,10.7688918,106.67877090000002,2.0,45.0,4200.0
0.0,10.7752565,106.68636289999995,3.0,75.1,3900.0
0.0,10.7850241,106.68292150000002,1.0,59.8,3700.0
0.0,10.7850241,106.68292150000002,2.0,59.8,3700.0
0.0,10.7835431817855,106.682090169312,2.0,18.6,2300.0
0.0,10.7827325,106.682233,3.0,87.2,5200.0
0.0,10.788353,106.6769296,4.0,60.0,4900.0
0.0,10.7752565,106.68636289999995,5.0,42.0,3000.0
0.0,10.788353,106.6769296,4.0,60.0,4900.0
0.0,10.7867274,106.69248240000002,2.0,46.8,4800.0
0.0,10.7752565,106.68636289999995,4.0,53.3,3100.0
0.0,10.788353,106.6769296,4.0,64.5,4700.0
0.0,10.7830439,106.68239949999997,3.0,80.8,5400.0
0.0,10.790442,106.67979270000001,3.0,63.0,5600.0
0.0,10.773503179455673,106.68126160052498,3.0,30.0,3600.0
0.0,10.7867274,106.69248240000002,2.0,48.0,4900.0
0.0,10.790442,106.67979270000001,3.0,63.0,5600.0
0.0,10.7752565,106.68636289999995,4.0,105.8,7100.0
0.0,10.7752565,106.68636289999995,4.0,80.0,6500.0
0.0,10.7853612,106.68886010000006,2.0,35.2,3900.0
0.0,10.788353,106.6769296,3.0,100.0,8500.0
0.0,10.7706954,106.67760010000006,4.0,77.0,7400.0
0.0,10.788353,106.6769296,4.0,48.0,4850.0
0.0,10.788353,106.6769296,3.0,121.9,7800.0
0.0,10.788353,106.6769296,4.0,80.0,8400.0
0.0,10.788353,106.6769296,4.0,80.0,8400.0
0.0,10.7752565,106.68636289999995,3.0,70.3,5300.0
0.0,10.7908153,106.68267089999995,4.0,160.0,9800.0
0.0,10.7818082,106.68513600000006,3.0,55.0,5800.0
0.0,10.7818082,106.68513600000006,4.0,64.0,6500.0
0.0,10.7818082,106.68513600000006,3.0,52.3,5800.0
0.0,10.780365,106.67819699999995,3.0,60.0,5300.0
0.0,10.775994275722212,106.68498960898432,3.0,58.0,5000.0
0.0,10.7752565,106.68636289999995,3.0,60.8,5300.0
0.0,10.7752565,106.68636289999995,4.0,63.0,6500.0
0.0,10.7752565,106.68636289999995,3.0,60.8,5300.0
0.0,10.7752565,106.68636289999995,3.0,40.0,5200.0
0.0,10.7752565,106.68636289999995,3.0,40.0,5200.0
0.0,10.7752565,106.68636289999995,5.0,52.5,5000.0
0.0,10.7752565,106.68636289999995,3.0,60.8,5100.0
0.0,10.7752565,106.68636289999995,3.0,62.4,5300.0
0.0,10.7752565,106.68636289999995,3.0,60.8,5300.0
0.0,10.785452894428676,106.66740647313304,3.0,58.0,5000.0
0.0,10.7752565,106.68636289999995,3.0,72.2,5200.0
0.0,10.7852974395813,106.66759690997299,3.0,60.0,5200.0
0.0,10.7752565,106.68636289999995,4.0,62.4,5200.0
0.0,10.7760891324696,106.68486086295206,6.0,77.0,6500.0
0.0,10.7752565,106.68636289999995,3.0,72.2,5200.0
0.0,10.7843695,106.6844089,4.0,75.4,5400.0
0.0,10.7752565,106.68636289999995,4.0,98.0,5600.0
